Variable,Contractor,2025,2030,2035,2040,2045,Notes
Surface take cost ($/acre-feet),San Gorgonio Pass Water Agency,1,1,1,1,1,
Surface take cost ($/acre-feet),Ventura County Watershed Protection District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),City of Folsom,1,1,1,1,1,
Groundwater put cost ($/acre-feet),City of Redding,1,1,1,1,1,
Groundwater put cost ($/acre-feet),City of Roseville,1,1,1,1,1,
Groundwater put cost ($/acre-feet),City of West Sacramento,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Yuba City,1,1,1,1,1,
Groundwater put cost ($/acre-feet),El Dorado Irrigation District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Napa County Flood Control & Water Conservation District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Placer County Water Agency,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Sacramento County Water Agency,1,1,1,1,1,
Groundwater put cost ($/acre-feet),San Juan Water District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Shasta Contractors,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Solano County Water Agency,1,1,1,1,1,
Groundwater put cost ($/acre-feet),City of Avenal,1,1,1,1,1,
Groundwater put cost ($/acre-feet),City of Coalinga,1,1,1,1,1,
Groundwater put cost ($/acre-feet),City of Fresno,1,1,1,1,1,
Groundwater put cost ($/acre-feet),City of Huron,1,1,1,1,1,
Groundwater put cost ($/acre-feet),City of Lindsay,1,1,1,1,1,
Groundwater put cost ($/acre-feet),City of Orange Cove,1,1,1,1,1,
Groundwater put cost ($/acre-feet),City of Tracy,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Kern County Water Agency,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Other Friant-Kern M&I Contractors,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Stockton-East Water District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,1,
Groundwater put cost ($/acre-feet),Alameda County Water District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Contra Costa Water District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),East Bay Municipal Utilities District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),"San Benito County Water District, Zone 6",1,1,1,1,1,
Groundwater put cost ($/acre-feet),Santa Clara Valley Water District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Antelope Valley-East Kern Water Agency,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Santa Clarita Water Division,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Coachella Valley Water District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Crestline-Lake Arrowhead Water Agency,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Desert Water Agency,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Metropolitan Water District of Southern California,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Mojave Water Agency,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),San Bernardino Valley Municipal Water District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),San Gabriel Valley Municipal Water District,1,1,1,1,1,
Groundwater put cost ($/acre-feet),San Gorgonio Pass Water Agency,1,1,1,1,1,
Groundwater put cost ($/acre-feet),Ventura County Watershed Protection District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),City of Folsom,1,1,1,1,1,
Groundwater take cost ($/acre-feet),City of Redding,1,1,1,1,1,
Groundwater take cost ($/acre-feet),City of Roseville,1,1,1,1,1,
Groundwater take cost ($/acre-feet),City of West Sacramento,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Yuba City,1,1,1,1,1,
Groundwater take cost ($/acre-feet),El Dorado Irrigation District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Napa County Flood Control & Water Conservation District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Placer County Water Agency,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Sacramento County Water Agency,1,1,1,1,1,
Groundwater take cost ($/acre-feet),San Juan Water District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Shasta Contractors,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Solano County Water Agency,1,1,1,1,1,
Groundwater take cost ($/acre-feet),City of Avenal,1,1,1,1,1,
Groundwater take cost ($/acre-feet),City of Coalinga,1,1,1,1,1,
Groundwater take cost ($/acre-feet),City of Fresno,1,1,1,1,1,
Groundwater take cost ($/acre-feet),City of Huron,1,1,1,1,1,
Groundwater take cost ($/acre-feet),City of Lindsay,1,1,1,1,1,
Groundwater take cost ($/acre-feet),City of Orange Cove,1,1,1,1,1,
Groundwater take cost ($/acre-feet),City of Tracy,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Kern County Water Agency,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Other Friant-Kern M&I Contractors,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Stockton-East Water District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,1,
Groundwater take cost ($/acre-feet),Alameda County Water District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Contra Costa Water District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),East Bay Municipal Utilities District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),"San Benito County Water District, Zone 6",1,1,1,1,1,
Groundwater take cost ($/acre-feet),Santa Clara Valley Water District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Antelope Valley-East Kern Water Agency,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Santa Clarita Water Division,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Coachella Valley Water District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Crestline-Lake Arrowhead Water Agency,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Desert Water Agency,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Metropolitan Water District of Southern California,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Mojave Water Agency,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),San Bernardino Valley Municipal Water District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),San Gabriel Valley Municipal Water District,1,1,1,1,1,
Groundwater take cost ($/acre-feet),San Gorgonio Pass Water Agency,1,1,1,1,1,
Groundwater take cost ($/acre-feet),Ventura County Watershed Protection District,1,1,1,1,1,
